Landed Value per Kilogram (2020$),Sockeye,Coho,Pink,Chum,Chinook
1952,$6.25,$3.27,$2.00,$1.84,$4.19
1953,$5.34,$3.08,$1.77,$1.68,$4.29
1954,$5.20,$3.56,$1.82,$1.72,$4.39
1955,$5.49,$4.02,$2.03,$2.26,$5.25
1956,$6.11,$5.04,$2.00,$2.68,$6.03
1957,$6.04,$3.42,$2.01,$1.91,$5.10
1958,$5.82,$4.52,$1.93,$2.04,$5.87
1959,$6.25,$4.61,$2.17,$2.43,$5.58
1960,$6.83,$5.97,$2.30,$2.96,$6.35
1961,$6.22,$4.96,$2.13,$2.45,$6.30
1962,$6.14,$4.76,$2.14,$2.23,$7.65
1963,$6.04,$4.68,$1.80,$2.29,$7.09
1964,$6.29,$5.12,$1.93,$2.24,$7.26
1965,$6.24,$5.10,$1.96,$2.08,$7.05
1966,$5.96,$4.96,$1.87,$1.98,$7.00
1967,$5.77,$4.88,$1.98,$2.05,$6.71
1968,$5.59,$4.63,$1.86,$2.01,$6.60
1969,$5.47,$5.28,$2.36,$2.96,$7.00
1970,$5.32,$5.61,$2.04,$2.33,$7.51
1971,$5.34,$4.39,$2.15,$2.31,$6.15
1972,$5.19,$5.77,$2.01,$2.47,$6.60
1973,$6.15,$8.40,$2.96,$4.99,$9.25
1974,$5.98,$5.80,$2.25,$3.72,$7.86
1975,$5.65,$6.29,$2.64,$5.24,$6.55
1976,$6.02,$8.23,$2.56,$4.89,$10.60
1977,$6.24,$7.74,$3.03,$4.41,$10.56
1978,$7.80,$9.40,$2.64,$6.63,$11.78
1979,$8.54,$12.21,$3.44,$7.38,$13.04
1980,$6.32,$6.86,$2.95,$5.77,$9.96
1981,$6.81,$7.67,$3.14,$4.16,$11.39
1982,$6.30,$6.77,$1.94,$4.07,$10.60
1983,$5.82,$4.89,$1.53,$3.53,$7.45
1984,$7.85,$7.74,$1.96,$3.65,$13.12
1985,$8.11,$6.29,$2.20,$3.13,$9.94
1986,$9.59,$6.12,$1.80,$3.08,$8.10
1987,$11.44,$7.89,$2.45,$4.79,$11.45
1988,$15.21,$10.03,$2.88,$5.26,$13.94
1989,$8.86,$3.97,$1.94,$2.66,$6.93
1990,$7.53,$4.62,$1.79,$2.74,$6.82
1991,$5.67,$4.25,$1.44,$2.13,$6.56
1992,$8.77,$4.68,$1.21,$2.36,$7.62
1993,$5.44,$4.16,$1.18,$2.22,$4.98
1994,$10.26,$4.75,$1.12,$1.75,$6.41
1995,$6.11,$4.37,$1.14,$1.54,$5.73
1996,$8.20,$4.69,$0.94,$1.19,$5.15
1997,$5.25,$3.94,$0.85,$1.16,$5.93
1998,$10.25,$2.23,$1.12,$1.00,$6.27
1999,$10.90,$2.87,$0.90,$1.26,$9.01
2000,$6.82,$3.86,$0.97,$1.76,$7.99
2001,$4.84,$3.66,$0.58,$1.42,$6.69
2002,$5.68,$2.40,$0.47,$0.69,$5.86
2003,$5.26,$3.62,$0.39,$0.94,$4.97
2004,$6.83,$4.42,$0.41,$1.06,$7.94
2005,$5.26,$3.80,$0.43,$1.26,$8.16
2006,$4.16,$5.59,$0.44,$1.32,$9.41
2007,$4.21,$3.94,$0.56,$1.67,$9.19
2008,$4.59,$6.64,$0.71,$2.02,$11.65
2009,$4.67,$4.73,$0.60,$1.91,$9.88
2010,$3.36,$5.24,$0.61,$1.96,$10.15
2011,$4.63,$4.66,$1.08,$2.14,$8.59
2012,$4.98,$4.26,$0.86,$1.28,$8.26
2013,$6.25,$4.68,$0.76,$1.59,$7.95
2014,$3.73,$4.00,$0.69,$2.00,$7.51
2015,$5.07,$4.62,$0.60,$1.69,$7.75
2016,$7.94,$5.22,$0.84,$2.06,$13.07
2017,$9.24,$5.84,$0.96,$3.32,$13.22
2018,$6.58,$6.92,$0.97,$3.51,$14.20
2019,$9.27,$7.30,$1.36,$2.47,$10.06
2020,$9.13,$6.82,$1.11,$2.32,$11.75
